mean_diff,ci_low,ci_high,boot_p,n,cohen_dz,encoder,dataset,budget,system
-0.007208290478394633,-0.016389804267862466,0.00267720591300777,0.138,648,-0.05824207324715762,minilm,fiqa,50,alpha_oracle
-0.05394013554205058,-0.07040040517322572,-0.037971720544779944,0.0,648,-0.25832120393044566,minilm,fiqa,50,bm25
-0.013765864866413693,-0.02284869093306863,-0.00424054300581183,0.0038,648,-0.11461379818654871,minilm,fiqa,50,rrf
-0.0019479481488904806,-0.00737376268856277,0.00407447461180527,0.5072,648,-0.02625137976136489,minilm,fiqa,100,alpha_fixed
-0.011441699644646093,-0.019412405024653426,-0.003288876487176516,0.0062,648,-0.11019282965910028,minilm,fiqa,100,alpha_learned
-0.011390094947259547,-0.01934377487996698,-0.003247800677007035,0.0064,648,-0.10969423811263072,minilm,fiqa,100,alpha_learned_override
-0.0047158859348080786,-0.01241300449191195,0.003751846470766448,0.2437,648,-0.04514423066104328,minilm,fiqa,100,alpha_oracle
-0.030055066429488915,-0.0428226947436142,-0.01753925318539438,0.0,648,-0.18386740388438313,minilm,fiqa,100,bm25
-0.0082876683599288,-0.015533449199858452,-0.0005696756669638995,0.0314,648,-0.0850577075178121,minilm,fiqa,100,rrf
0.021355930353349876,0.013394161517529845,0.030085695071331634,0.0,323,0.279086608746899,minilm,nfcorpus,0,alpha_fixed
0.042000983612282786,0.024434387086150883,0.06015337953593984,0.0,323,0.25329182812359186,minilm,nfcorpus,0,alpha_learned
0.042000983612282786,0.024434387086150883,0.06015337953593984,0.0,323,0.25329182812359186,minilm,nfcorpus,0,alpha_learned_override
0.08790940606020954,0.07277097773803382,0.104035109157718,0.0,323,0.6040207967704545,minilm,nfcorpus,0,alpha_oracle
0.0025570803787521718,-0.020101127659028786,0.026324018481141957,0.8257,323,0.011954799572126378,minilm,nfcorpus,0,bm25
0.026377673197715834,0.011078352927182856,0.04261939007040975,0.0007,323,0.18073389990778543,minilm,nfcorpus,0,rrf
0.009715197683198243,0.002737708471963578,0.018401040646078785,0.0175,323,0.133263041701762,minilm,nfcorpus,50,alpha_fixed
0.01338842378927394,0.004160420502486284,0.024032398570286054,0.0096,323,0.14821174602543777,minilm,nfcorpus,50,alpha_learned
0.01338842378927394,0.004160420502486284,0.024032398570286054,0.0096,323,0.14821174602543777,minilm,nfcorpus,50,alpha_learned_override
0.018310747555792393,0.008942199502795862,0.028904309200715527,0.0009,323,0.19942340350892723,minilm,nfcorpus,50,alpha_oracle
0.009584387041964008,-0.00139698866009528,0.021809237458371242,0.1039,323,0.09036611732843663,minilm,nfcorpus,50,bm25
0.015196773281032047,0.005861240587573159,0.025922333083420443,0.0045,323,0.16634684387064944,minilm,nfcorpus,50,rrf
0.006903455298280388,0.00046310900023576905,0.015479964230139238,0.064,323,0.09896939565128804,minilm,nfcorpus,100,alpha_fixed
0.010510931081997783,0.0026596804269217182,0.019852208206575753,0.0174,323,0.13307558649735324,minilm,nfcorpus,100,alpha_learned
0.010510931081997783,0.0026596804269217182,0.019852208206575753,0.0174,323,0.13307558649735324,minilm,nfcorpus,100,alpha_learned_override
0.01441293223991173,0.006310369710508567,0.0240762157100223,0.004,323,0.17826114220599693,minilm,nfcorpus,100,alpha_oracle
0.0073971759681385925,-0.0017418199978860148,0.017860123375352917,0.1376,323,0.08200704681226179,minilm,nfcorpus,100,bm25
0.013271972582577646,0.005353516023276424,0.02272900696287301,0.0055,323,0.16627685980333254,minilm,nfcorpus,100,rrf
0.0019231793719904698,-0.0023406644792624944,0.006335902854095624,0.3897,1000,0.027513390540815846,minilm,scidocs,0,alpha_fixed
-0.027363801807377946,-0.036061270090371564,-0.018605917155263465,0.0,1000,-0.19296007211704208,minilm,scidocs,0,alpha_learned
-0.026716721918149083,-0.03535770931765298,-0.017982604599135213,0.0,1000,-0.18937500344553929,minilm,scidocs,0,alpha_learned_override
0.047344359955449014,0.0420928347021176,0.05278864229010681,0.0,1000,0.5445572944471976,minilm,scidocs,0,alpha_oracle
-0.06591572193295853,-0.07651281482056388,-0.05481517086363396,0.0,1000,-0.3746243106368642,minilm,scidocs,0,bm25
-0.017912581191926007,-0.02579441656476716,-0.00974899813299117,0.0001,1000,-0.1372531185847823,minilm,scidocs,0,rrf
-0.007290789208052751,-0.00984415690613117,-0.004809988473735244,0.0,1000,-0.18240683832664278,minilm,scidocs,50,alpha_fixed
-0.01761260093405592,-0.021688883790712384,-0.013624823664103919,0.0,1000,-0.2724834905792305,minilm,scidocs,50,alpha_learned
-0.017706582110595722,-0.02176818688120171,-0.013762693674665774,0.0,1000,-0.27436334786493266,minilm,scidocs,50,alpha_learned_override
-0.0108651229154884,-0.014292928781169785,-0.00758523004040117,0.0,1000,-0.19970792356514802,minilm,scidocs,50,alpha_oracle
-0.022476755225731154,-0.027253993378072564,-0.017852468762425987,0.0,1000,-0.2929593567020195,minilm,scidocs,50,bm25
-0.015575051179651167,-0.01924467225899641,-0.011984519592966087,0.0,1000,-0.2677507425911811,minilm,scidocs,50,rrf
-0.004683888838507031,-0.006865919043901318,-0.0024989436696282365,0.0,1000,-0.13438427471200254,minilm,scidocs,100,alpha_fixed
-0.011537071105461276,-0.014604621376432786,-0.00863526926719343,0.0,1000,-0.2422485910318141,minilm,scidocs,100,alpha_learned
-0.011635110391292633,-0.014705603458426784,-0.008767239492602736,0.0,1000,-0.2449503357085267,minilm,scidocs,100,alpha_learned_override
-0.007540538171996176,-0.010111673756056747,-0.005020289753367032,0.0,1000,-0.1840739281624765,minilm,scidocs,100,alpha_oracle
-0.016465262152103588,-0.020445429631523255,-0.012693719946310283,0.0,1000,-0.26319669702546045,minilm,scidocs,100,bm25
-0.011220879565421608,-0.014114779908665059,-0.008442961621610352,0.0,1000,-0.24691793658998512,minilm,scidocs,100,rrf
0.05097857069027568,0.03449479558526488,0.06842845600669746,0.0,300,0.3426591638523492,minilm,scifact,0,alpha_fixed
0.08118128683441299,0.05044598261619626,0.11353286929502489,0.0,300,0.289754605889339,minilm,scifact,0,alpha_learned
0.08118128683441299,0.05044598261619626,0.11353286929502489,0.0,300,0.289754605889339,minilm,scifact,0,alpha_learned_override
0.13542873638222067,0.10846502338426738,0.16401227040127256,0.0,300,0.5485016272534615,minilm,scifact,0,alpha_oracle
0.029876424340624853,-0.0064049704694294565,0.06710098813698419,0.1217,300,0.09008445891663175,minilm,scifact,0,bm25
0.06848836572568989,0.04313824903287293,0.09417356094101627,0.0,300,0.3000404455944647,minilm,scifact,0,rrf
0.003389714019305828,-0.00497171547715415,0.012678864674278409,0.4405,300,0.04375521920834333,minilm,scifact,50,alpha_fixed
0.0038606969724697808,-0.007242308189495035,0.01628970411673556,0.5131,300,0.037371543934333666,minilm,scifact,50,alpha_learned
0.0038606969724697808,-0.007242308189495035,0.01628970411673556,0.5131,300,0.037371543934333666,minilm,scifact,50,alpha_learned_override
0.011744315187400645,-0.0019392355043692973,0.027085887047400774,0.1089,300,0.09272633084411856,minilm,scifact,50,alpha_oracle
0.001126664059937544,-0.016686397160778303,0.01847422512170297,0.8998,300,0.00715431166820709,minilm,scifact,50,bm25
0.004349727151190317,-0.006848822670365946,0.016871315738325333,0.4682,300,0.04167903822042781,minilm,scifact,50,rrf
-8.301184696348903e-05,-0.003871625437649514,0.004201078573611992,0.9667,300,-0.002348061710318781,minilm,scifact,100,alpha_fixed
0.000483670110946815,-0.008554097275576742,0.010939308300752447,0.9205,300,0.005571379839405227,minilm,scifact,100,alpha_learned
0.000483670110946815,-0.008554097275576742,0.010939308300752447,0.9205,300,0.005571379839405227,minilm,scifact,100,alpha_learned_override
0.0011977405171740847,-0.00839048920728458,0.012381553332413192,0.8197,300,0.01326845124974394,minilm,scifact,100,alpha_oracle
0.0004383129692650737,-0.009661459876645056,0.011796232438410463,0.9328,300,0.004716294070880394,minilm,scifact,100,bm25
-0.002024996695584945,-0.009959421388977456,0.007799755674973281,0.6429,300,-0.025951430666805064,minilm,scifact,100,rrf
0.07457891486932267,0.04969860122116861,0.10116154103000546,0.0,50,0.8025099514530061,minilm,trec-covid,0,alpha_fixed
0.22287963659756527,0.14954582932849203,0.29706705609188544,0.0,50,0.8232376616731774,minilm,trec-covid,0,alpha_learned
0.14685594481181308,0.07739444956108649,0.21979535824507893,0.0,50,0.5697858952497851,minilm,trec-covid,0,alpha_learned_override
0.30508122782243197,0.2425938379768543,0.37059119815317265,0.0,50,1.303147065893963,minilm,trec-covid,0,alpha_oracle
0.11956653402231288,0.03963271805758109,0.20016957958887116,0.0034,50,0.4019608330063357,minilm,trec-covid,0,bm25
0.2290902599943684,0.16299408090276155,0.29572443511343616,0.0,50,0.9492654771401334,minilm,trec-covid,0,rrf
0.0507420561259379,0.026436077739666608,0.07651807906983454,0.0,50,0.5591845263182755,minilm,trec-covid,50,alpha_fixed
0.095181061176239,0.034492937101744045,0.15561620705373147,0.0019,50,0.43677813094764745,minilm,trec-covid,50,alpha_learned
