encoder,dataset,system,budget,ndcg10,recall100,mrr10
minilm,trec-covid,alpha_oracle,100,0.7557539161526537,0.12105734925776997,0.8966666666666667
minilm,trec-covid,bm25,0,0.5887916503827296,0.10751650830252038,0.8385238095238096
minilm,trec-covid,bm25,50,0.7115525811367024,0.10751650830252038,0.8673333333333333
minilm,trec-covid,bm25,100,0.7338947907404088,0.10751650830252038,0.8535238095238096
minilm,trec-covid,dense,0,0.46922511636041675,0.08543934832633505,0.7243809523809525
minilm,trec-covid,dense,50,0.65418644284157,0.08543934832633505,0.8716666666666667
minilm,trec-covid,dense,100,0.7132076251394811,0.08543934832633505,0.8866666666666667
minilm,trec-covid,rrf,0,0.6983153763547851,0.11515598313238742,0.9
minilm,trec-covid,rrf,50,0.7507420128303839,0.11515598313238742,0.8966666666666667
minilm,trec-covid,rrf,100,0.7415743052097856,0.11515598313238742,0.8833333333333333
