defense,target_fpr,qid,final_score,detector_calls,evaded
D1_3feat_tiny,0.05,217,0.470399026957573,17,True
D1_3feat_tiny,0.05,115,0.20963144277417806,89,True
D1_3feat_tiny,0.05,324,0.4642876974402186,33,True
D1_3feat_tiny,0.05,619,0.2289159648457565,65,True
D1_3feat_tiny,0.05,1199,0.43763468982437487,25,True
D1_3feat_tiny,0.05,1319,0.4598889597901805,25,True
D1_3feat_tiny,0.05,236,0.3440216202529841,41,True
D1_3feat_tiny,0.05,873,0.5678219535540827,25,False
D1_3feat_tiny,0.05,113,0.21080152288654477,57,True
D1_3feat_tiny,0.05,279,0.20599687903957528,73,True
D1_3feat_tiny,0.05,729,0.5290279258452703,33,False
D1_3feat_tiny,0.05,759,0.20451040781848553,57,True
D1_3feat_tiny,0.05,1163,0.2386655022206668,81,True
D1_3feat_tiny,0.05,72,0.4780003205265326,49,True
D1_3feat_tiny,0.05,1099,0.2081800376523742,57,True
D1_3feat_tiny,0.05,1274,0.2438961296780135,57,True
D1_3feat_tiny,0.05,1241,0.41174334769545945,25,True
D1_3feat_tiny,0.05,1107,0.47983539685442206,41,True
D1_3feat_tiny,0.05,985,0.3785371652185254,33,True
D1_3feat_tiny,0.05,70,0.2325874321428779,73,True
D1_3feat_tiny,0.05,1179,0.4341170411402512,33,True
D1_3feat_tiny,0.05,57,0.21743063096343476,49,True
D1_3feat_tiny,0.05,1086,0.21024127505323176,57,True
D1_3feat_tiny,0.05,832,0.23817812199351002,57,True
D1_3feat_tiny,0.05,507,0.21809385279060176,49,True
D1_3feat_tiny,0.05,118,0.22723493335151038,65,True
D1_3feat_tiny,0.05,514,0.395633338309384,33,True
D1_3feat_tiny,0.05,1104,0.22730547036162538,57,True
D1_3feat_tiny,0.05,452,0.4234165494425205,33,True
D1b_3feat_trained,0.001,238,0.4205648347711464,9,True
D1b_3feat_trained,0.001,775,0.4287861578218496,9,True
D1b_3feat_trained,0.001,1137,0.4233552053698367,9,True
D1b_3feat_trained,0.001,715,0.4352047262566151,9,True
D1b_3feat_trained,0.001,993,0.4366544840536067,33,True
D1b_3feat_trained,0.001,1352,0.4399499547512929,17,True
D1b_3feat_trained,0.001,1021,0.40536947233354303,9,True
D1b_3feat_trained,0.001,636,0.4221782703983328,9,True
D1b_3feat_trained,0.001,1337,0.4382526411657343,9,True
D1b_3feat_trained,0.001,936,0.4252643027142695,9,True
D1b_3feat_trained,0.001,1336,0.4308588630598262,17,True
D1b_3feat_trained,0.001,882,0.45147015871381424,33,True
D1b_3feat_trained,0.001,1146,0.48054523260040005,17,True
D1b_3feat_trained,0.001,421,0.4311170438709691,17,True
